location_id,edge_id,snap_distance_m,mapping_status,mapping_confidence,network_version,sensor_name,sensor_description,source_status,quality_flags
133,edge_97573452a802dd733c75d9b0,2.23,AUTO,HIGH,cceb975fc0c92f16f660,Spen229_T,I-Hub Southern Cross Station - Lonsdale Street Entrance - South,A,[]
134,edge_c368ded787881cf7410bd520,3.813,AUTO,HIGH,cceb975fc0c92f16f660,Spen201_T,I-Hub Southern Cross Station - Bourke Street Entrance - North,A,[]
135,edge_6c53b6132c0c4e4a1b78e2a5,2.813,AUTO,HIGH,cceb975fc0c92f16f660,Spen161_T,I-Hub Southern Cross Station - Bourke Street Entrance - South,A,[]
136,edge_89f71ceb7cfa1de45a024e64,2.427,AUTO,HIGH,cceb975fc0c92f16f660,BirFed1120_T,"COM Pole 1120 - Towards the City, Near Federation Square Bridge",A,[]
137,edge_96d13f6f22742ea475610d3f,12.223,MANUAL_REVIEW,MEDIUM,cceb975fc0c92f16f660,BouHbr2353_T,"COM Pole 2353 - Towards the city, NAB Building",A,[]
138,edge_051a94ac5e0e70bf844cc3b0,17.217,MANUAL_REVIEW,MEDIUM,cceb975fc0c92f16f660,EntPark1671_T,"COM Pole 1671 - Enterprize Park, Queens Bridge",A,[]
139,edge_262c87cc66977a472cc80182,0.126,AUTO,HIGH,cceb975fc0c92f16f660,Signal1647_T,COM Pole 1647 - Sandridge Bridge Signal Box,A,[]
140,edge_0aee330edb9009e9c3b4c42a,15.008,MANUAL_REVIEW,MEDIUM,cceb975fc0c92f16f660,Boyd2837_T,COM Pole 2837 - Boyd Park,A,[]
141,edge_5a25ad71c97b853c185e79e7,0.933,AUTO,HIGH,cceb975fc0c92f16f660,474Fl_T,Awning of Nationwide Parking 474 Flinders Street,A,[]
142,edge_3f01f092c4d13a2f92481219,1.198,AUTO,HIGH,cceb975fc0c92f16f660,Hammer1584_T,COM Pole 1584 - Hammer Hall Entrance,A,[]
143,edge_4f0b2b1f6f8e2b8856be56f2,0.443,AUTO,HIGH,cceb975fc0c92f16f660,Spencer_T,"Mounted on Toilet - Spencer Street, Batman Park",A,[]
144,edge_fc3a62a09ecff5999b1d3c33,0.49,AUTO,HIGH,cceb975fc0c92f16f660,narrLibL1L1_T,narrm ngarrgu Library - Level 1 - Lift 1,A,[]
145,edge_f799af0d684025927e9d012d,2.036,AUTO,HIGH,cceb975fc0c92f16f660,narrLibL1L2_T,narrm ngarrgu Library - Level 1 - Lift 2,A,[]
146,edge_deb112b5008a3f234460fbfd,1.276,AUTO,HIGH,cceb975fc0c92f16f660,narrLibL1L3_T,narrm ngarrgu Library - Level 1 - Lift 3,A,[]
147,edge_6d2d291874eb0dbef5fb9dec,2.006,AUTO,HIGH,cceb975fc0c92f16f660,narrLibMRL1_T,narrm ngarrgu Library - Level 1 - Meeting Room Lift 1,A,[]
148,edge_2d8555ba3ca27c4516614071,5.663,AUTO,HIGH,cceb975fc0c92f16f660,narrLibMRL2_T,narrm ngarrgu Library - Level 1 - Meeting Room Lift 2,A,[]
149,edge_65833f4b3d6a3cae858868aa,3.696,AUTO,HIGH,cceb975fc0c92f16f660,narrLibL1MA_T,narrm ngarrgu Library - Level 1 Main Stairs A,A,[]
150,edge_8691d4aa16e713f3bf9b54c9,2.431,AUTO,HIGH,cceb975fc0c92f16f660,narrLibL1MB_T,narrm ngarrgu Library - Level 1 Main Stairs B,A,[]
151,edge_f799af0d684025927e9d012d,8.017,AUTO,HIGH,cceb975fc0c92f16f660,narrLibL2CA_T,narrm ngarrgu Library - Level 2 - Collections Stairs A,A,[]
